,Title,Material List,Items Removed from the bin,Items that need to be Cleaned,Clearly missing items,Worked on by,Notes:
,,1 dry erase marker,,,,,
,,1 bag of 24 small hand held magnifying glasses,,,,,
,,6 empty bags,*******,,,,
106947,Solar Energy Kit,6 1000ml plastic bottles , ,,,Yaire,
,,16 cardboard squares,,,,,
,,5 triangular prisms (cardboard),,,,,
,,15 acetate sheets,,,,,
,,yellow envelope w/ thermometer reading,,,,,
,,1 10lb bag of black sand ,,,,,
,,1 small container of black sand,,,,,
,,6 small clear solo cups ,,,,,
,,18 container lids w/ slits,,,,,
,,24 plastic containers ,,,,,
,,4 rolls of scotch tape,,,,,
,,box of white chalk,,,,,
,,1 bag of rubber bands ,,,,,
,,1 bag w/ 10 popsicle sticks ,,,,,
,,4 2oz syringes,,,,,
,,1 bag w/ 12 golf tees,,,,,
,,2 2L plastic containers,,,,,
,,16 thermometers,,,,,
,,10 compasses ,,,,,
,,2 bags of brown sand ,,,,,
,,1 bag of white plastic sheets,,,,,
,,1 bag of black plastic sheets,,,,,
,,1 bag of black trash bags ,,,,,
,,1 bag of white/clear trash bags,,,,,
,,1 bag of ziploc bags,,,,,
106938,Stories in Stone,1 box of modeling clay,8lb bucket of clay?,,8lb bucket of clay,Yaire & Vanessa,
,,1 stories in stone teacher pack,11 vials (asked Mark & he said to throw them),,vials,,
,,1 transparency set,Lots of play dough in bags & containers,,clear nail polish,,
,,3 rock kits ,,,magnifying lenses,,
,,14 rolls of scotch tape,,,stir sticks,,
,,5 bags of silt,,,sponges,,
,,2 bags of dirt,,,egg cartons,,
,,55 cups,,,kosher salt,,
,,26 lids,,,matches,,
,,6 magnefying glass,,,"different color clay (red, yellow, green, blue)",,
,,3 bags of marine sand,,,,,
,,A bag of dried clay,,,,,
,,2 bags of soil,,,,,
,,1 playdoh,,,,,
,,2 tapes,,,,,
,,10 plastic knives,,,,,
,,8 plastic spoons,,,,,
,,measuring tape,,,,,
123113,Bublle Festival Kit 1,12 measuring tapes,bubble handouts,,,Vanessa,
,,Material Safety Data Sheet,,,,,
,,Bubble Festival Teacher's Pack ,,,,,
,,Handout holder,,,,,
,,4 bubble solutions,,,,,
,,3 packets of scented bubbles,,,,,
,,7 dish soaps,,,,,
,,4 Acrylic squeeze,,,,,
,,1 duck tape,,,,,
,,1 white distiller vinegar,,,,,
,,1 pair of gloves,,,,,
,,3 whisks,,,,,
,,3 plates,,,,,
,,1 yarn,,,,,
,,1 box of binder clips,,,,,
,,3 plastic bowls,,,,,
,,2 sponges,,,,,
,,6 hand lens,,,,,
,,20 washers,,,,,
,,5 protracters,,,,,
,,94 Blue Unifix Cubes,,,,,
,,1 sauce bottle,,,,,
123113,Bubble Festival Refills 2,2 jugs,,,,Vanessa,
,,2 bubble makers,,,,,
,,2 jug covers,,,,,
,,3 Ajax dish cleaner,,,,,
,,Packet of scented bubbles,,,,,
,,1 bottle of white ,,,,,
,,2 bottle of glycerin,,,,,
,,1 bubble maker machiine,,,,,
,,5 wild and crazy bubble makers,,,,,
,,1 miracle bubbles,,,,,
,,1 measuring cup,,,,,
,,2 plastic bowls,,,,,
,,lamentated bubble handouts,,,,,
,,1 packet of fuzzy sticks,,,,,
,,Tubing set,,,,,
,,28 straws,,,,,
,,15 bubble maker handles,,,,,
,,"bag of spoons, straws,toothpicks and buttons",,,,,
,,8 mini blue blocks,,,,,
123121,Build It! Festival Kit! ,1 bag of large foam shapes,extra paper handouts - trash,,,Jake Hinds,
,,1 bag of tangrams,Box of colored beads - returned to inventory,,,,
,,1 bag of triangle polydrons,Bubble wand head,,,,
,,1 bage of square polydrons,Black and White construction paper - returned to inv,,,,
,,1 bag of pentagon polydrons,Bags of toothpicks - returned,,,,
,,1 bag of cut straws,pack of pipe cleaners - returned,,,,
,,1 bag of straws,empty plastic bags- trash,,,,
,,1 bag of mirrors,,,,,
,,1 small bag of wooden pattern shapes,,,,,
,,1 bag of small lengths of yarn,,,,,
,,1 box of colored beeds,,,,,
,,8 plastic tubs,,,,,
,,1 folder of what comes next activity,,,,,
,,1 bag/folder of symmetry activity papers,,,,,
,,2 bags of what comes next activity,,,,,
,,1 folder for activity 3 open ended challege,,,,,
,,1 bag & folder for create a shape activity,,,,,
,,1 bag & folder for Fill-A-Shape activity,,,,,
,,1 bag & folder for Tessellations activity,,,,,
,,1 bag & folder for Tangrams activity,,,,,
,,1 folder for power designs,,,,,
,,1 empty pattern block bag,,,,,
109885,Build it festival,,,,,,
107031,Water Module Kit,3 bottles,Gross plastic cups (trash),,Scissors,Jay,
,,1 pack coffee filters,,,Trays,,
,,88 9oz plastic cups,,,Pitchers,,
,,7 16oz plastic cups,,,Kosher Salt,,
,,1 bag gravel,,,Spoon (5-ml),,
,,1 bag potting soil,,,Liquid Dish Detergent,,
,,60 plastic dome lids,,,Paper Towel,,
,,1 pack wooden craft sticks,,,White Vinegar,,
,,2 packs 75-count plastic discs,,,Small glass bottle,,
,,34 droppers,,,Rubber stopper,,
,,9 sponges,,,"Straw, thin",,
,,4 pack 5-count lids,,,Permanent Makers,,
,,1 towel,,,Dispensing Bottle,,
,,1 bag of clothespins,,,Thermometer,,
,,2 boxes 12-count binder clips,,,Small vials,,
,,1 bag of pennies,,,Graduated Cylinder,,
,,8 waterwheel dowels,,,Syringes (4),,
,,2 rolls of string,,,Post-It Labels,,
,,1 wax paper,,,Balance,,
,,1 foil,,,Transparent Tape,,
,,1 bag of rubber bands,,,Beaker (100 ml),,
,,2 corks & ball,,,Food Coloring Set,,
,,Water Cycle Poster,,,Hardness Indicator Tablets,,
,,,,,Hand Lenses,,
107199,Water Module Kit,Gravel,,,Scissors,Jay,
,,Potting Soil,,,Trays,,
,,1 roll of string,,,Kosher Salt,,
,,1 pack 75-count plastic discs,,,Spoon (5-ml),,
,,1 bag of binder clips,,,Liquid Dish Detergent,,
,,1 foil,,,Paper Towel,,
,,1 wax paper,,,White Vinegar,,
,,cup of rubber bands,,,Thermometer,,
,,8 16oz cups,,,Graduated Cylinder,,
,,61 9oz cups,,,Syringes (4),,
,,8 sponges,,,Post-It Labels,,
,,16 waterwheel dowels,,,Balance,,
,,2 Sharpies,,,Transparent Tape,,
,,2 corks & ball,,,Beaker (100 ml),,
,,7 soft vials (1 lid missing),,,Food Coloring Set,,
,,40 plastic vials (1 lid cracked),,,Hardness Indicator Tablets,,
,,10 rubber stoppers,,,Hand Lenses,,
,,26 droppers,,,Wooden Craft Sticks,,
,,1 pack thin straws,,,Towels,,
,,20 plaastic lids,,,Clothespins,,
,,3 dispenser bottles,,,Pennies,,
,,coffee filters,,,,,
,,10 glass vials,,,,,
,,72 dome lids,,,,,
,,Water Cycle Poster,,,,,
120514,Plate Tectonics,all required master worksheets and maps,,,6-8 16 oz. plastic bowls,Gideon,
,,7 plastic volcanoes,,,1 large measuring cup,,
,,8 wooden fault-line models,,,96-128 ceramic magnets,,
,,2 inflatable globes,,,24-32 sheets of 8.5x11 cardboard,,
,,1 plastic glove stand,,,8 oz. mineral oil,,
,,2 bars red modeling clay,,,"6-8 sample sets (quartz, basalt, andesite, rhyolite)",,
,,2 bars yellow modeling clay,,,9-12 tablespoons honey,,
,,2 bars green modeling clay,,,9-12 tablespoons cooking oil,,
,,2 bars blue modeling clay,,,9-12 tablespoons peanut butter,,
,,3 tall clear plastic bottles,,,3 cups household vinegar,,
,,8 oz. Murphy's Oil Soap,,,half-cup strawberry Quik,,
,,10 blue marbles,,,half-cup chocolate Quik,,
,,8 ziploc sandwich bags,,,half-cup Cherry Kool-Aid,,
,,1 set measuring spoons,,,1 compass (to draw circles),,
,,24 plastic centrifuge tubes,,,1 hot glue gun,,
,,8 rubber stoppers,,,6-8 sets of scissors,,
,,8 compasses (magnetic),,,newspaper or trash bags to cover tables,,
,,8 paper plates,,,,,
,,toothpicks,,,,,
,,24 plastic cups (9 oz.),,,,,
,,16 popsicle sticks,,,,,
,,1 oz. red food coloring,,,,,
,,1 box baking soda,,,,,
,,36 paper cups (2 oz.),,,,,
,,18 coffee stirrers,,,,,
,,8 rulers,,,,,
,,1 roll clear packing tape,,,,,
,,1 roll scotch tape,,,,,
,,1 roll masking tape,,,,,
,,1 Sharpie,,,,,
,,1 roll receipt paper,,,,,
,,16 plastic knives,,,,,
102382,Schoolyard Ecology,"22 clear, blue clipboards",,,,Andrea,-no corresponding binder
,,5 large styrofoam cups,,,,,"-Bin has a note about missing items, but have no binder to compare to "
,,2 Bags of 11 flattened white boxes,,,,,
,,2 empty spray bottles,,,,,
,,3 boxes of crayola markers,threw out 4 dried out markers,,each pack is missing some markers,,
,,1 pack of vis-a-vis markers,,,,,
,,1 pack of yellow glow dots,,,,,
,,1 bag of 4 sponges,,,,,
,,1 bag of pack of toothpicks,,,,,
,,1 bag of 3 disposable spoons,,,,,
,,1 roll of clear scotch tape,,,,,
,,1 bag of 7 clear 10oz lids,,,Bag says 8 but only contains 7 ,,
106924,Fossil Measurement,1 Bag of Pebbles,Extra bags/boxes with nothing inside,all beakers and cups,sedimetary rocks,Giancarlo,
,,2 sets of spice measurements,molding sponges,,scales,,
,,10 small beakers,3 broken thermometers,,Objects with rough surfaces to polish rocks,,
,,1 bag of paperclips,,,examples are brushes and sponges,,
,,1 box of paperclips,,,,,
,,10 metal circles,,,,,
,,1 bag of sticky notes,,,,,
,,1 bag of balance pointers,,,,,
,,10 cylinders,,,,,
,,136 small plastic cups,,,,,
,,11 poker chips,,,,,
,,5 thermometers,,,,,
,,8 median plastic cups,,,,,
,,8 large plastic cups,,,,,
,,38 full straws,,,,,
,,35 cut straws,,,,,
,,5 measuring types,,,,,
,,1 XL beakers,,,,,
,,16 magnifiers,,,,,
,,5 covers for magnifiers,,,,,
